t,t+1,delta,tokenized_data
105010692096,105004400640,-6291456,-6291456
105004400640,105006497792,2097152,2097152
105006497792,105000206336,-6291456,-6291456
105000206336,105002303488,2097152,2097152
105002303488,104996012032,-6291456,-6291456
104996012032,104998109184,2097152,2097152
104998109184,104991817728,-6291456,-6291456
104991817728,104993914880,2097152,2097152
104993914880,104987623424,-6291456,-6291456
104987623424,104989720576,2097152,2097152
104989720576,104983429120,-6291456,-6291456
104983429120,104985526272,2097152,2097152
104985526272,104979234816,-6291456,-6291456
104979234816,104981331968,2097152,2097152
104981331968,104975040512,-6291456,-6291456
104975040512,104977137664,2097152,2097152
104977137664,104970846208,-6291456,-6291456
104970846208,104972943360,2097152,2097152
104972943360,104966651904,-6291456,-6291456
104966651904,104968749056,2097152,2097152
104968749056,104962457600,-6291456,-6291456
104962457600,104964554752,2097152,2097152
104964554752,104958263296,-6291456,-6291456
104958263296,104960360448,2097152,2097152
104960360448,104954068992,-6291456,-6291456
104954068992,104956166144,2097152,2097152
104956166144,104949874688,-6291456,-6291456
104949874688,104951971840,2097152,2097152
104951971840,104945680384,-6291456,-6291456
104945680384,104947777536,2097152,2097152
104947777536,104941486080,-6291456,-6291456
104941486080,104943583232,2097152,2097152
104943583232,104937291776,-6291456,-6291456
104937291776,104939388928,2097152,2097152
104939388928,104933097472,-6291456,-6291456
104933097472,104935194624,2097152,2097152
104935194624,104928903168,-6291456,-6291456
104928903168,104931000320,2097152,2097152
104931000320,104924708864,-6291456,-6291456
104924708864,104926806016,2097152,2097152
104926806016,104920514560,-6291456,-6291456
104920514560,104922611712,2097152,2097152
104922611712,104916320256,-6291456,-6291456
104916320256,104918417408,2097152,2097152
104918417408,104912125952,-6291456,-6291456
104912125952,104914223104,2097152,2097152
104914223104,104907931648,-6291456,-6291456
104907931648,104910028800,2097152,2097152
104910028800,104903737344,-6291456,-6291456
104903737344,104905834496,2097152,2097152
104905834496,104899543040,-6291456,-6291456
104899543040,104901640192,2097152,2097152
104901640192,104895348736,-6291456,-6291456
104895348736,104897445888,2097152,2097152
104897445888,104891154432,-6291456,-6291456
104891154432,104893251584,2097152,2097152
104893251584,104886960128,-6291456,-6291456
104886960128,104889057280,2097152,2097152
104889057280,104882765824,-6291456,-6291456
104882765824,104884862976,2097152,2097152
104884862976,104878571520,-6291456,-6291456
104878571520,104880668672,2097152,2097152
104880668672,104874377216,-6291456,-6291456
104874377216,104876474368,2097152,2097152
