t,t+1,delta,tokenized_data
104292941824,104292945920,4096,4096
104292945920,104292950016,4096,4096
104292950016,104292954112,4096,4096
104292954112,104292958208,4096,4096
104292958208,104292962304,4096,4096
104292962304,104292966400,4096,4096
104292966400,104292970496,4096,4096
104292970496,104292974592,4096,4096
104292974592,104292978688,4096,4096
104292978688,104292982784,4096,4096
104292982784,104292986880,4096,4096
104292986880,104292990976,4096,4096
104292990976,104292995072,4096,4096
104292995072,104292999168,4096,4096
104292999168,104293003264,4096,4096
104293003264,104293007360,4096,4096
104293007360,104293011456,4096,4096
104293011456,104293015552,4096,4096
104293015552,104293019648,4096,4096
104293019648,104293023744,4096,4096
104293023744,104293027840,4096,4096
104293027840,104293031936,4096,4096
104293031936,104293036032,4096,4096
104293036032,104293040128,4096,4096
104293040128,104293044224,4096,4096
104293044224,104293048320,4096,4096
104293048320,104293052416,4096,4096
104293052416,104293056512,4096,4096
104293056512,104293060608,4096,4096
104293060608,104293064704,4096,4096
104293064704,104293068800,4096,4096
104293068800,104293072896,4096,4096
104293072896,104293076992,4096,4096
104293076992,104293081088,4096,4096
104293081088,104293085184,4096,4096
104293085184,104293089280,4096,4096
104293089280,104293093376,4096,4096
104293093376,104293097472,4096,4096
104293097472,104293101568,4096,4096
104293101568,104293105664,4096,4096
104293105664,104293109760,4096,4096
104293109760,104293113856,4096,4096
104293113856,104293117952,4096,4096
104293117952,104293122048,4096,4096
104293122048,104293126144,4096,4096
104293126144,104293130240,4096,4096
104293130240,104293134336,4096,4096
104293134336,104293138432,4096,4096
104293138432,104293142528,4096,4096
104293142528,104293146624,4096,4096
104293146624,104293150720,4096,4096
104293150720,104293154816,4096,4096
104293154816,104293158912,4096,4096
104293158912,104293163008,4096,4096
104293163008,104293167104,4096,4096
104293167104,104293171200,4096,4096
104293171200,104293175296,4096,4096
104293175296,104293179392,4096,4096
104293179392,104293183488,4096,4096
104293183488,104293187584,4096,4096
104293187584,104293191680,4096,4096
104293191680,104293195776,4096,4096
104293195776,104293199872,4096,4096
104293199872,104293203968,4096,4096
104293203968,104293208064,4096,4096
104293208064,104293212160,4096,4096
104293212160,104293216256,4096,4096
104293216256,104293220352,4096,4096
104293220352,104293224448,4096,4096
104293224448,104293228544,4096,4096
104293228544,104293232640,4096,4096
104293232640,104293236736,4096,4096
104293236736,104293240832,4096,4096
104293240832,104293244928,4096,4096
104293244928,104293249024,4096,4096
104293249024,104293253120,4096,4096
104293253120,104293257216,4096,4096
104293257216,104293261312,4096,4096
104293261312,104293265408,4096,4096
104293265408,104293269504,4096,4096
104293269504,104293273600,4096,4096
104293273600,104293277696,4096,4096
104293277696,104293281792,4096,4096
104293281792,104293285888,4096,4096
104293285888,104293289984,4096,4096
104293289984,104293294080,4096,4096
104293294080,104293298176,4096,4096
104293298176,104293302272,4096,4096
104293302272,104293306368,4096,4096
104293306368,104293310464,4096,4096
104293310464,104293314560,4096,4096
104293314560,104293318656,4096,4096
104293318656,104293322752,4096,4096
104293322752,104293326848,4096,4096
104293326848,104293330944,4096,4096
104293330944,104293335040,4096,4096
104293335040,104293339136,4096,4096
104293339136,104293343232,4096,4096
104293343232,104293347328,4096,4096
104293347328,104293351424,4096,4096
104293351424,104293355520,4096,4096
104293355520,104293359616,4096,4096
104293359616,104293363712,4096,4096
104293363712,104293367808,4096,4096
104293367808,104293371904,4096,4096
104293371904,104293376000,4096,4096
104293376000,104293380096,4096,4096
104293380096,104293384192,4096,4096
104293384192,104293388288,4096,4096
104293388288,104293392384,4096,4096
104293392384,104293396480,4096,4096
104293396480,104293400576,4096,4096
104293400576,104293404672,4096,4096
104293404672,104293408768,4096,4096
104293408768,104293412864,4096,4096
104293412864,104293416960,4096,4096
104293416960,104293421056,4096,4096
104293421056,104293425152,4096,4096
104293425152,104293429248,4096,4096
104293429248,104293433344,4096,4096
104293433344,104293437440,4096,4096
104293437440,104293441536,4096,4096
104293441536,104293445632,4096,4096
104293445632,104293449728,4096,4096
104293449728,104293453824,4096,4096
104293453824,104293457920,4096,4096
104293457920,104293462016,4096,4096
104293462016,104293466112,4096,4096
104293466112,104293470208,4096,4096
104293470208,104293474304,4096,4096
104293474304,104293478400,4096,4096
104293478400,104293482496,4096,4096
104293482496,104293486592,4096,4096
104293486592,104293490688,4096,4096
104293490688,104293494784,4096,4096
104293494784,104293498880,4096,4096
104293498880,104293502976,4096,4096
104293502976,104293507072,4096,4096
104293507072,104293511168,4096,4096
104293511168,104293515264,4096,4096
104293515264,104293519360,4096,4096
104293519360,104293523456,4096,4096
104293523456,104293527552,4096,4096
104293527552,104293531648,4096,4096
104293531648,104293535744,4096,4096
104293535744,104293539840,4096,4096
104293539840,104293543936,4096,4096
104293543936,104293548032,4096,4096
104293548032,104293552128,4096,4096
104293552128,104293556224,4096,4096
104293556224,104293560320,4096,4096
104293560320,104293564416,4096,4096
104293564416,104293568512,4096,4096
104293568512,104293572608,4096,4096
104293572608,104293576704,4096,4096
104293576704,104293580800,4096,4096
104293580800,104293584896,4096,4096
104293584896,104293588992,4096,4096
104293588992,104293593088,4096,4096
104293593088,104293597184,4096,4096
104293597184,104293601280,4096,4096
104293601280,104293605376,4096,4096
104293605376,104293609472,4096,4096
104293609472,104293613568,4096,4096
104293613568,104293617664,4096,4096
104293617664,104293621760,4096,4096
104293621760,104293625856,4096,4096
104293625856,104293629952,4096,4096
104293629952,104293634048,4096,4096
104293634048,104293638144,4096,4096
104293638144,104293642240,4096,4096
104293642240,104293646336,4096,4096
104293646336,104293650432,4096,4096
104293650432,104293654528,4096,4096
104293654528,104293658624,4096,4096
104293658624,104293662720,4096,4096
104293662720,104293666816,4096,4096
104293666816,104293670912,4096,4096
104293670912,104293675008,4096,4096
104293675008,104293679104,4096,4096
104293679104,104293683200,4096,4096
104293683200,104293687296,4096,4096
104293687296,104293691392,4096,4096
104293691392,104293695488,4096,4096
104293695488,104293699584,4096,4096
104293699584,104293703680,4096,4096
104293703680,104293707776,4096,4096
104293707776,104293711872,4096,4096
104293711872,104293715968,4096,4096
104293715968,104293720064,4096,4096
104293720064,104293724160,4096,4096
104293724160,104293728256,4096,4096
104293728256,104293732352,4096,4096
104293732352,104293736448,4096,4096
104293736448,104293740544,4096,4096
104293740544,104293744640,4096,4096
104293744640,104293748736,4096,4096
104293748736,104293752832,4096,4096
104293752832,104293756928,4096,4096
104293756928,104293761024,4096,4096
104293761024,104293765120,4096,4096
104293765120,104293769216,4096,4096
104293769216,104293773312,4096,4096
104293773312,104293777408,4096,4096
104293777408,104293781504,4096,4096
104293781504,104293785600,4096,4096
104293785600,104293789696,4096,4096
104293789696,104293793792,4096,4096
104293793792,104293797888,4096,4096
104293797888,104293801984,4096,4096
104293801984,104293806080,4096,4096
104293806080,104293810176,4096,4096
104293810176,104293814272,4096,4096
104293814272,104293818368,4096,4096
104293818368,104293822464,4096,4096
104293822464,104293826560,4096,4096
104293826560,104293830656,4096,4096
104293830656,104293834752,4096,4096
104293834752,104293838848,4096,4096
104293838848,104293842944,4096,4096
104293842944,104293847040,4096,4096
104293847040,104293851136,4096,4096
104293851136,104293855232,4096,4096
104293855232,104293859328,4096,4096
104293859328,104293863424,4096,4096
104293863424,104293867520,4096,4096
104293867520,104293871616,4096,4096
104293871616,104293875712,4096,4096
104293875712,104293879808,4096,4096
104293879808,104293883904,4096,4096
104293883904,104293888000,4096,4096
104293888000,104293892096,4096,4096
104293892096,104293896192,4096,4096
104293896192,104293900288,4096,4096
104293900288,104293904384,4096,4096
104293904384,104293908480,4096,4096
104293908480,104293912576,4096,4096
104293912576,104293916672,4096,4096
104293916672,104293920768,4096,4096
104293920768,104293924864,4096,4096
104293924864,104293928960,4096,4096
104293928960,104293933056,4096,4096
104293933056,104293937152,4096,4096
104293937152,104293941248,4096,4096
104293941248,104293945344,4096,4096
104293945344,104293949440,4096,4096
104293949440,104293953536,4096,4096
104293953536,104293957632,4096,4096
104293957632,104293961728,4096,4096
104293961728,104293965824,4096,4096
104293965824,104293969920,4096,4096
104293969920,104293974016,4096,4096
104293974016,104293978112,4096,4096
104293978112,104293982208,4096,4096
104293982208,104293986304,4096,4096
104293986304,104293990400,4096,4096
104293990400,104293994496,4096,4096
104293994496,104293998592,4096,4096
104293998592,104294002688,4096,4096
104294002688,104294006784,4096,4096
104294006784,104294010880,4096,4096
104294010880,104294014976,4096,4096
104294014976,104294019072,4096,4096
104294019072,104294023168,4096,4096
104294023168,104294027264,4096,4096
104294027264,104294031360,4096,4096
104294031360,104294035456,4096,4096
104294035456,104294039552,4096,4096
104294039552,104294043648,4096,4096
104294043648,104294047744,4096,4096
104294047744,104294051840,4096,4096
104294051840,104294055936,4096,4096
104294055936,104294060032,4096,4096
104294060032,104294064128,4096,4096
104294064128,104294068224,4096,4096
104294068224,104294072320,4096,4096
104294072320,104294076416,4096,4096
104294076416,104294080512,4096,4096
104294080512,104294084608,4096,4096
104294084608,104294088704,4096,4096
104294088704,104294092800,4096,4096
104294092800,104294096896,4096,4096
104294096896,104294100992,4096,4096
104294100992,104294105088,4096,4096
104294105088,104294109184,4096,4096
104294109184,104294113280,4096,4096
104294113280,104294117376,4096,4096
104294117376,104294121472,4096,4096
104294121472,104294125568,4096,4096
104294125568,104294129664,4096,4096
104294129664,104294133760,4096,4096
104294133760,104294137856,4096,4096
104294137856,104294141952,4096,4096
104294141952,104294146048,4096,4096
104294146048,104294150144,4096,4096
104294150144,104294154240,4096,4096
104294154240,104294158336,4096,4096
104294158336,104294162432,4096,4096
104294162432,104294166528,4096,4096
104294166528,104294170624,4096,4096
104294170624,104294174720,4096,4096
104294174720,104294178816,4096,4096
104294178816,104294182912,4096,4096
104294182912,104294187008,4096,4096
104294187008,104294191104,4096,4096
104294191104,104294195200,4096,4096
104294195200,104294199296,4096,4096
104294199296,104294203392,4096,4096
104294203392,104294207488,4096,4096
104294207488,104294211584,4096,4096
104294211584,104294215680,4096,4096
104294215680,104294219776,4096,4096
104294219776,104294223872,4096,4096
104294223872,104294227968,4096,4096
104294227968,104294232064,4096,4096
104294232064,104294236160,4096,4096
104294236160,104294240256,4096,4096
